SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Belle R Hull,,J Driscoll et al,Schooner,1858,"Toms River, NJ",11/17/1872,1872,11,17,Barnegat,"Collision w/ ""John B Myers""",,US,,,9,194,,"Brooklyn, NY",Virgina,"New York, NY",J Driscoll,,,,,,,,N,N,Made way to NY; John B Myers sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Benjamin Reed,,,Schooner,1867,,3/10/1874,1874,3,10,Sandy Hook,Storm,Wood,US,96.6,25.9,9.6,197,,"Boothbay, ME",Mexico,"New York, NY",Adams,,,,,,Mahogany,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Betsey (1791),,,Merchantman,,,1791,1791,,,Barnegat,Wrecked,,England,,,,,,,"London, England","New York, NY",Douglas,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Betsey (1779),,,Merchantman,,,1779,1779,,,Great Egg Harbor,Wrecked,,,,,,,,,"Providence, RI","New York, NY",Parke,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bone Wreck,Off Shore Wreck,,Barge,,,1903,1903,,,Barnegat Inlet N 1.5 mi,Unknown,Steel,,200,,,,,,Cuba,"New York, NY",,,,,,,Bones for fertilizer,,Y,N,"AKA ""Off Shore Wreck""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Betsey (1825),,,Sloop,,,6/1825,1825,6,,Cape May,Abandoned,,,,,,,,,,"New York, NY",,,,,,,,,Y,N,"Washed up on Henlopen, DE",,"New York, NY",ROOFTOP,40.714269,-74.005973
Breakwater,,,Schooner,,,11/14/1838,1838,11,14,Belmar area,Grounded in fog,,,,,,,,"Stonington, CT","Baralos, Cuba","New York, NY",,,,,,,Fruit,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
C & C Brooks (1873),,B Smith et al,Schooner,1864,"Greenport, NY",10/7/1873,1873,10,7,Cape May N 5 mi,Damaged in gale,,US,103,26,8.5,134,,"Greenport, NY",Virginia,"New York, NY",Rogers,,,,,,Deckload - RR ties - lost,,N,N,#5048; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Brothers,,,Schooner,,,12/23/1870,1870,12,23,Sandy Hook,Grounded,,,,,,,,"Warwick, RI","Norfolk, VA","New York, NY",,,,,,,3700 bushels corn,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Brazil,,,Schooner,,,5/16/1860,1860,5,16,Squan Beach S 6.5 mi,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",Dorsetts,,,,,,"Stone, coal",,N,N,Refloated 6/25/1860,,"New York, NY",ROOFTOP,40.714269,-74.005973
Calvin P Harris (1872),,,Schooner,1871,"Bath, ME",1/7/1872,1872,1,7,Squan Beach,,,,138.5,33,15.2,465.08,441.83,"Tauton, MA","Baltimore, MD","New York, NY",,,,,,,Coal,,N,N,#5939; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cadet (1842),,,Schooner,,,2/8/1842,1842,2,8,Manasquan Inlet S 3 mi,Foundered,Wood,,150,38,,,,"Bridgeton, NJ",Virginia,"New York, NY",Claypool,,,,,,,,Y,Y,Ship lost; Crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
C L Scull,,,Schooner,,,12/18/1869,1869,12,18,Shark River Inlet,Grounded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,Shingles,#18,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Canton (1817),,,Sloop,,,11/1817,1817,11,,Cape May,Grounded,,,,,,,,,"Fredericksburg, VA","New York, NY",,,,,,,3000 bushels wheat,,N,N,Cargo lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Canima,,,Steamer,1863,"Glasgow, Scotland",1/18/1875,1875,1,18,"Highlands, NJ","Collision w/ ""Joseph G Bennett""",,England,230,28.8,14.8,752,,"Quebec, Canada",Bermuda,"New York, NY",Liddecoat,,,,,,,,N,N,Badly damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cambusdoon,,James Kennedy,Bark,1881,"Gardners Cove, NB",4/2/1886,1886,4,2,Highands S 20 mi,"Collision w/ ""Charlotte Webb No 5""",,England,193,38.3,22.5,1198,,"St John, NB, Canada ","Cebu, Philippines","New York, NY",Fleet,,,,,,,,N,N,Slight damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
Celeste,,,Schooner,,,12/1842,1842,12,,Absecon Beach,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Johnson,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles H Pool,,,Brig,,,8/17/1867,1867,8,17,Great Egg Harbor bar,Stranded,,,,,,,,,West Indies,"New York, NY",,,,,,,Molasses,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles Pitman,,,Schooner,,,1/1845,1845,1,,Sandy Hook Romer Shoal,Grounded; Bilged,,,,,,,,"Townsend, MD","Richmond, VA","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Celina,,Adam Hitchcock,Schooner,1882,"Bath, ME",5/12/1886,1886,5,12,Absecon,"Collision w/ ""Jonathan Bourne""",,,164.5,35.4,13,628,,,Caribbean,"New York, NY",M Adams,,,,,,,,N,N,#125996; Made NY 5/17/1886,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charming Peggy (1752),,,Schooner,,,11/13/1752,1752,11,13,Sandy Hook,Grounded in gale,,,,,,,,,Cape Fare,"New York, NY",Alexander Sloan,,,,,,237 bbl tar,,Y,N,Ship lost; Crew & cargo saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charlotte T Sibley,,Edward Sibley,Schooner,1882,"Belfast, ME",6/26/1884,1884,6,26,Absecon Inlet E 15 mi,Lost sails in gale,,,140,32.8,11,358,,"Belfast, ME","Jacksonville, FL","New York, NY",Bartlett Thomas,,,,,,,,N,N,#126077,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charming Peggy (1767),,,Sloop,,,12/1767,1767,12,,Marcus Hook,Grounded in ice storm,,,,,,,,,"Philadelphia, PA","New York, NY",Stewart,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cinderella,,,Schooner,,,9/1866,1866,9,,,Wrecked,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Choapa,Helga; Junior,Chilean Government,Freighter,1937,Denmark,9/21/44,1944,9,21,Long Branch E 9.5 mi,Collision w/ 3 ships,Steel,Chile,292,41.7,16.4,1700,973,"Valparaiso, Chile",Chile,"New York, NY",,,,,,,,"Collisions w/ ""Harmony"", ""Voco"", ""Empire Garrick""",Y,Y,#21656; Hydro #857; Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Circassian,,Atlantic RM SS Co,Steamer,1856,"Belfast, ME",12/18/1869,1869,12,18,Squan Beach,Stranded,Iron,,253,40,18,1045,,,"New Orleans, LA","New York, NY",Ellis,,,,,,,,N,N,Refloated; towed to New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cheaton,,,Schooner,,,2/8/1872,1872,2,8,Barnegat,Lost sails,,,,,,,,,"Port Morant, Jamaica","New York, NY",,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clarissa and Mary,,,Schooner,,,12/24/1838,1838,12,24,Absecon bar,Grounded,,,,,,,,,Curacao,"New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clarendon,,,Passenger,,,4/7/1815,1815,4,7,Sandy Hook,Stranded,,US,,,,,,,Bermuda,"New York, NY",Gaines,,,,,,,,Y,N,Ship lost; Passengers & crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Coamo (A),Californian,,Steamer,1891,"Glasgow, Scotland",3/5/17,1917,3,5,Barnegat,Stranded,Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,N,N,#127454; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Citizen,,,Merchantman,,,4/19/1822,1822,4,9,Brigantine Shoal E 3 mi,Wrecked,,,,,17,,,,Manila,"New York, NY",,,,,,,,,Y,N,Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Coamo (B),Californian,,Steamer,1891,"Glasgow, Scotland",4/1/17,1917,4,1,Scotland Lightship S 15 mi,"Collision w/ ""Allentown""",Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,Y,N,#127454; Sank,,"New York, NY",ROOFTOP,40.714269,-74.005973
Columbia (1806),,,Merchantman,,,1/4/1806,1806,1,4,Little Egg Harbor,Lost,,US,,,,,,,"Lisbon, Portugal","New York, NY",Lewis,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Columbus (1855),,,Schooner,,,7/21/1855,1855,7,21,Deal Beach,Stranded,,,,,,,,,"Plymouth, NC","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Conquistadore,,A Lauro,Bark,1872,"Sorrento, Italy",6/26/1884,1884,6,26,Barnegat SE 20 mi,Lost sails in gale,,Italy,,,,624,,"Naples, Italy","Almeria, Italy","New York, NY",Somma,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Concord (1817),,,Schooner,,,10/1817,1817,10,,Cape May,Stranded,,,,,,,,,"Ocracoke, NC","New York, NY",,,,,,,,,Y,N,Ship & cargo lost,,"New York, NY",ROOFTOP,40.714269,-74.005973
Crisis,,,Schooner,1858,"Melville, NJ",1/6/1872,1872,1,6,Sandy Hook,Burned,,US,,,8,132,,"Great Egg Harbor, NJ",Virginia,"New York, NY",,,,,,,,,,N,"Saved by ""W A Hennessy""",,"New York, NY",ROOFTOP,40.714269,-74.005973
D H Bisbee,,,Schooner,1866,"Damariscotta, ME",12/1/1875,1875,12,1,Barnegat SE 30 mi,In distress,,,85,24.4,8,141,,"Camden, ME","Para, Brazil","New York, NY",Ellis,,,,,,,,N,N,Partial loss; Towed in,,"New York, NY",ROOFTOP,40.714269,-74.005973
Day,,,Bark,,,4/15/1847,1847,4,15,Sandy Hook Light S 2 mi,Stranded,,,,,,,,,"Limerick, Ireland","New York, NY",,,,,,,,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Deborah,,,Schooner,,,1/21/1855,1855,1,21,Absecon,Struck a rock,,US,,,,,,,"Washington, DC","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Diadem,,,,,,2/1864,1864,2,,,Wrecked,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Donal - Ena,,Angus McWilliam,Bark,1884,"Sommerville, PEI",12/29/1885,1885,12,29,New Jersey coast,In distress; Damaged in gale,,England,115.9,25.1,12.8,249,,,Parachiba,"New York, NY",Martin P McRae,,,,,,,,N,N,Damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Dione,,Maloney,Schooner,1871,"Stockton, ME",12/8/1885,1885,12,8,Sandy Hook,Damaged in gale,,US,111.5,27.6,10.8,211,,"Boston, MA",Monte Christo,"New York, NY",Raynes,,,,,,Logwood,,N,N,#6710; Partal loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Denie Hastings,,Daniel S Tilton,Schooner,1865,,,,,,Turtle Gut Inlet,Stranded,,,,,,,,"Great Egg Harbor, NJ","Norfolk, VA","New York, NY",Daniel S Tilton,,,,,,Coal,,,N,#6186,,"New York, NY",ROOFTOP,40.714269,-74.005973
Doris Eckhoff,,J E Ward & Co,Bark,1874,"Millbridge, ME",3/12/1888,1888,3,12,Barnegat SE 2 mi,Damaged in blizzard,,,142.3,30.8,17.1,530,,"New York, NY","Havana, Cuba","New York, NY",Todd,,,,,,,,N,N,#6834; Partial loss of boom & sails,,"New York, NY",ROOFTOP,40.714269,-74.005973
Edith (1870),,,Brig,,,3/27/1870,1870,3,27,Barnegat,Damaged in gale,,England,,,,,,"Pernambuco, Brazil","Pernambuco, Brazil","New York, NY",,,,,,,,,N,"N ",Lost sails,,"New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth (1820),,,Brig,,,1/10/1820,1820,1,10,Asbury Park,Stranded,,,,,,,,,"Wilmington, DE","New York, NY",,,,,,,Cotton & Rice,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eastern 2,,Midland Enterprises Inc,Barge,1945,"New Orleans, LA",12/25/69,1969,12,25,Shark River Inlet,Grounded after breaking tow,,US,422.8,57.04,24.5,6428,6034,"Wilmington, DE","Hampton Roads, VA","New York, NY",,,,,,,Coal,,Y,Y,#247414; Broke in two,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eliza S Potter (1883),,,Schooner,1857,"Mystic, CT",8/29/1883,1883,8,29,"Ludlams Beach, NJ",Stranded,,,,,,338,321.05,"Warren, RI","Port Royal, SC","New York, NY",,,,,,,Wood/rags,,,"N ",#7942,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ellie L Smith,,Smith et al,Schooner,1865,"Marshallville, NJ",6/5/1874,1874,6,5,Sandy Hook Romer Shoal,Stranded in fog,,,115.4,30.6,9.8,331,,"Marshallville, NJ",Caribbean Ports,"New York, NY",Smith,,,,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emeline,,,Brig,,,9/27/1844,1844,9,27,Little Egg Harbor Inlet,Foundered in gale,,,,,,,,"New Bedford, MA",Curacao,"New York, NY",Sandy,,,,,,Salt,,Y,N,Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emily Curtis,,"Franklin Curtis, et al",Schooner,1869,"Cutler, ME",5/7/1871,1871,5,7,Barnegat S 22 mi,Damaged in squall,,US,,,12,301,,"Boston, MA","Cardenas, Mexico","New York, NY",A G Haskell,,,,,,,,N,N,Lost jibboom & bowsprit,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emilia Paquala,,,,,,4/1/02,1902,4,1,"Surf City, 9th St",Grounded,Steel,,,,,,,,"Buenos Aires, Arg","New York, NY",,,,,,,Bones,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emily (1844),,,Brig,,,3/18/1844,1844,3,18,Sandy Hook,"Collision w/ ""Virginia""",,,,,,,,,"Charleston, SC","New York, NY",Sherwood,,,,,,,,N,N,"Rescued crew of ""Virginia""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Empire (1866),,,Steamer,1863,"Wilmington, DE",10/18/1866,1866,10,18,Sandy Hook,Wrecked,,,,,,410,,"Philadelphia, PA","Wilmington, DE","New York, NY",Price,,,,,,,,,"N ",#7715,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emmanuele,,E D Albunds,Bark,1867,"Procida, Italy",8/19/1879,1879,8,19,Cape May SE,Lost masts in gale,,Italy,115.1,27.2,17.9,,382,"Naples, Italy","Castelamare, Italy","New York, NY",F S Tucci,,,,,,,Cape May #40,N,N,"Towed to NY by ""Mary E Fish""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Envoy,,,Schooner,,,1/1856,1856,1,,Squan Inlet,Grounded,,,,,,,,,"Jamaica, WI","New York, NY",,,,,,,,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Equator,,,Brig,,,11/10/1838,1838,11,10,Deal Beach,Stranded,,,,,,,,,"Rotterdam, Holand","New York, NY",,,,,,,General Merchandise,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Essex (1838),,,Sloop,,,11/23/1838,1838,11,23,Sandy Hook,Sprang leak,,,,,,,,,"Barnegat, NJ","New York, NY",,,,,,,Lime,,Y,"N ",Sank; crew saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eugenie,,,Bark,,,7/19/1871,1871,7,19,Barnegat,Lost sails in storm,,England,,,,,,,"St Croix, USVI","New York, NY",,,,,,,,,N,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Excel (1839),,,Sloop,,,~ 11/15/1839,1839,11,15,Delaware Capes,Grounded,,,,,,,,"Great Egg Harbor, NJ","Fredericksburg, VA","New York, NY",,,,,,,Wheat,,Y,N,Cast away on Horners Beach,,"New York, NY",ROOFTOP,40.714269,-74.005973
Euphrasia,,,Ship,,,7/13/1858,1858,7,13,Squan Beach,Stranded,,,,,,,,,"Newcastle, England","New York, NY",Lanfair,,,,,,Coal,,N,N,Refloated 7/20/1858,,"New York, NY",ROOFTOP,40.714269,-74.005973
Excel (1837),,,Schooner,,,1/27/1837,1837,1,27,Absecon Beach,Grounded,,,,,,,,,"Savannah, GA","New York, NY",,,,,,,,,Y,"N ",Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Exertion,,,Brig,,,2/2/1838,1838,2,2,Squan Beach Inlet S 8 mi,Grounded,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Excel (1870),,J Davies,Brig,1853,"Milford, England",2/7/1870,1870,2,7,Barnegat,Lost sails/some spars in gale,,England,,,14,213,,"Milford, England","Messina, Sicily","New York, NY",J Davies,,,,,,,,N,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Export,,,Schooner,,,12/24/1849,1849,12,24,Egg Island Light,Grounded,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,N,"N ",At anchor; all saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Florence (1888),,,Brig,,,1/27/1888,1888,1,27,Barnegat S,Lost anchor & chain,,,,,,,,,"Savannah, GA","New York, NY",Atkins,,,,,,,,N,N,Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Fannie H Looring,,,Bark,1872,"Yarmouth, ME",8/18/1879,1879,8,18,Barnegat S 20 mi,Lost sails and jib boom,,,,,,460.21,440.28,"Portland, ME","Cardenas, Mexico","New York, NY",,,,,,,,,N,N,#120049; Partial Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Forest (1848),,,Brig,,,3/2/1848,1848,3,2,Hereford Inlet bar,Grounded,,,,,,,,"New York, NY","Philadelphia, PA","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Florence L Schepp,,S & H Boardman,Schooner,1880,"Bath, ME",1/18/1884,1884,1,18,Brigantine Shoal,Grounded,,,103.1,27.1,10.1,198,,,Port de Paix,"New York, NY",William Crabbe,,,,,,,,N,N,#120392; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Forest (1841),,,Brig,,,4/20/1841,1841,4,20,Sandy Hook,Stranded,,,,,,,,"New York, NY","Mayaguez, PR","New York, NY",Lane,,,,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
France,,,Bark,,,2/25/1875,1875,2,25,NJ Coast E .5 mi,Wrecked,,,,,,,,,"Havre, Belgium","New York, NY",,,,,,,General,,Y,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Francis (1883),,,Schooner,,,7/20/1883,1883,7,20,Five Fathom Bank Lightship E 5 mi,Sank,,,,,,,,"Montreal, Canada","Mayaguez, PR","New York, NY",Auberley,,,,,,Molasses,,Y,N,"Crew landed at Lewes, DE",,"New York, NY",ROOFTOP,40.714269,-74.005973
Frank Herbert,,,Schooner,1855,"East Haven, CT",2/13/02,1902,2,13,"Cold Spring, NJ",Cut by ice; Abandoned,Wood,US,102.6,27.8,9.7,183,174,,"Ocracoke, NC","New York, NY",Morgan,,,,,,Pine wood,,Y,"N ",#9121,,"New York, NY",ROOFTOP,40.714269,-74.005973
Freddie Hencken,,Hencken & Co,Schooner,1882,"Greenport, NY",9/26/1886,1886,9,26,Sandy Hook,Collision w/ submerged dredge,,,135,25,10.6,326,,,Virginia,"New York, NY",Thompson,,,,,,,,,N,#120518,,"New York, NY",ROOFTOP,40.714269,-74.005973
Fred B Taylor,,William Law & Co,Ship,1883,"Tusket, NS",7/31/1886,1886,7,31,Barnegat E 25 mi,Lost spars/sails in squall,,England,237,42,24,1798,,"Yarmouth, NS",Manila,"New York, NY",,,,,,,,,N,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
General Harrison,,,Schooner,,,3/1861,1861,3,,,,,,,,,,,,"Great Egg Harbor, NJ","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
General Johnson,,,Sloop,,,10/10/1761,1761,10,10,Shrewsbury,Grounded; Broke up,,,,,,,,,"Jamaica, WI","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Golden Rule,,F Nicholson,Ship,1854,"Newcastle, ME",4/9/1872,1872,4,9,Sandy Hook S 2 mi,Stranded in fog,,US,,,20.5,1195,,"Boston, MA","Liverpool, England","New York, NY",Howell,,,,,,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
General McClellan,,,Schooner,1862,"Thomaston, ME",2/17/00,1900,2,17,Five Fathom Bank S 8 mi,Foundered,Wood,US,196,39.3,28.6,1596,1544,"Philadelphia, PA","Lambert's Point, VA","New York, NY",,,,,,,,,,N,#10467,,"New York, NY",ROOFTOP,40.714269,-74.005973
Grace Van Dusen,,L Mathews,Schooner,1874,"Millbridge, ME",3/4/1886,1886,3,4,Cape May,Damaged in Gale,,,136,33,10.4,303,,"Philadelphia, PA","Richmond, VA","New York, NY",Lee,,,,,,Pig Iron,,N,N,#85336,,"New York, NY",ROOFTOP,40.714269,-74.005973
Grapeshot,,,Schooner,,,12/1/1869,1869,12,1,Sandy Hook,Grounded,,,,,,,,,"Baltimore, MD","New York, NY",Wordwell,,,,,,Corn,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Greenmay,,,Schooner,,,3/1855,1855,3,,Barnegat,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
H D Havens,,,Schooner,,,3/29/1877,1877,3,29,Barnegat,"Collision w/ ""R C A Ward""",,,,,,,,,"Baltimore, MD","New York, NY",Pearce,,,,,,,,N,"N ",Damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Gypsie,,William Jex & Co.,Schooner,1870,"Brooklyn, NY",6/26/1884,1884,6,26,Barnegat,Damaged in gale,,England,,,,40,,Belize,Corn Island,"New York, NY",Gardner,,,,,,,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harnett,,,Merchantman,,,2/20/1809,1809,2,20,Sandy Hook,,Wood,US,,,,,,,"Jamaica, WI","New York, NY",Gardner,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harriet Elizabeth,,,Schooner,,,1/7/1847,1847,1,7,Absecon bar,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hannah Spaulding,,,Brig,,,3/28/1864,1864,3,28,Long Beach Island,Grounded,,,,,,,,,South America,"New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hannah (1817),,,Ship,,,4/19/1817,1817,4,19,"Toms River, NJ",Stranded,,,,,,,,,,"New York, NY",Askwith,,,,,,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harry C Shepard (1884),,,Schooner,1870,"Mays Landing, NJ",5/2/1884,1884,5,2,Sandy Hook,"Collision w/ ""Richard Vaux""",,,110,29,8,213.13,,"Somers Point, NJ",Virginia,"New York, NY",,,,,,,Pine wood,,N,"N ",#95055 Damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harriet Neal,,,Schooner,,,8/16/1866,1866,8,16,Deal Beach,,,,,,,,,,"Baltimore, MD","New York, NY",,,,,,,,,,N,"Possible ""Harriet Newell""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Hattie M Howes,,,Schooner,1869,"Providence, RI",9/28/1880,1880,9,28,Sandy Hook,"Collision w/ ""Chalmette""",,,113,29.1,8.5,197,,"Providence, RI","New Orleans, LA","New York, NY",,,,,,,,,N,N,#11959 Towed to NY; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Harry C Shepard (1879),,,Schooner,1870,"Mays Landing, NJ",1/9/1879,1879,1,9,Highlands E 7 mi,Damaged in gale,,US,,,,213.18,,"Somers Point, NJ","St Augustine, FL","New York, NY",Steelman,,,,,,,,N,N,#95055,,"New York, NY",ROOFTOP,40.714269,-74.005973
Havana (1875),,J F Ward & Co,Brig,1866,"Sullivan, ME",2/25/1875,1875,2,25,Highlands SE 30 mi,Damaged in squall,,,110,28.6,16.6,386,,"New York, NY","Rio de Janiero, Brazil","New York, NY",Meyer,,,,,,,,N,"N ",Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Helen M Waite,,Wadsworth & Kelly,Schooner,1867,"Colais, ME",3/26/1873,1873,3,26,Barnegat N 15 mi,"Stranded, Abandoned",,,,,9,123,,,"Savannah, GA","New York, NY",Colin McRae,,,,,,,,N,N,Refloated and towed to New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry Clay (1838),,,Schooner,,,4/6/1838,1838,4,6,Squan Beach,,,,,,,,,,Folly Landing,"New York, NY",,,,,,,,,,"N ",Crew all drowned,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry R Tilton,,Samuel E Birdsall,Schooner,1874,"Wilmington, DE",6/16/1886,1886,6,16,Highlands,"Collision w/ ""Delaware""",,,152,35,16,492.48,468,,"Baltimore, MD","New York, NY",,,,,,,,,,"N ",#95344,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hind,,,,,,1/28/1822,1822,1,28,Sandy Hook,,,Scotland,,,,,,,"Dundee, GB","New York, NY",,,,,,,,,Y,"N ",Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry Poole,,,Brig,,,11/11/1853,1853,11,11,Absecon,Stranded,,England,,,,,,,"Glasgow, Scotland","New York, NY",,,,,,,,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Howard Williams (1891),,,Schooner,1872,"Wilmington, DE",1/30/1891,1891,1,30,Absecon,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth amboy, NJ","Baltimore, MD","New York, NY",,,,,,,,,Y,"N ",#95184; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Howard Williams (1885),,,Schooner,1872,"Wilmington, DE",2/4/1885,1885,2,4,Barnegat Light E 12 mi,Collision,Wood,US,135.8,33.1,11.4,362.19,344.08,"Perth Amboy, NJ","Baltimore, MD","New York, NY",Pierce,,,,,,,,N,"N ",#95184; Partial loss; Repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
Hopatcong (1910),,,Ferry boat,1883,"Newburgh, NY",12/6/10,1910,12,6,Sandy Hook Romer Shoal,Foundered,,,,,,563,,,"Norfolk, VA","New York, NY",,,,,,,Railroad ties,,Y,"N ",Crew saved; sank in tow,,"New York, NY",ROOFTOP,40.714269,-74.005973
